replicate,generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp
1,120,1958,119.2,125.5,#NOM?,0.006261,0.9502,1440,90,90,#NOM?,0,1,0.1111,153,72,159,70,139,0,151,133,77,170,79,156,67,160,0,131,156,85,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,119,119,119,119,119,0,119,119,119,105,0.1111,0.5169,0.4914,0.5411,0.5209,0.5021,0.5397
1,125,2003,126.6,123.8,#NOM?,0.0119,1.023,1440,90,90,#NOM?,0,1,0.1111,189,68,152,70,164,0,134,156,80,169,66,163,75,143,0,151,149,74,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,124,124,124,124,124,0,124,124,124,110,0.1111,0.5218,0.493,0.5513,0.5141,0.4886,0.5395
1,130,1996,123.5,126,#NOM?,0.0125,0.9802,1440,90,90,#NOM?,0,1,0.1111,149,67,156,82,163,0,127,158,86,159,78,151,72,162,0,134,163,89,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,129,129,129,129,129,0,129,129,129,114,0.1111,0.5172,0.5036,0.5305,0.5206,0.5013,0.5399
1,135,1932,117.1,124.4,#NOM?,0.008341,0.9417,1440,90,90,#NOM?,0,1,0.1111,128,71,149,71,136,0,148,160,74,138,87,168,61,167,0,143,158,73,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,134,134,134,134,134,0,134,134,134,119,0.1111,0.5114,0.4839,0.5373,0.5093,0.4791,0.5395
1,140,1938,119.8,122.5,#NOM?,0.01082,0.9776,1440,90,90,#NOM?,0,1,0.1111,134,87,143,71,160,0,128,169,66,155,76,171,78,160,0,141,137,62,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,139,139,139,139,139,0,139,139,139,123,0.1111,0.5179,0.484,0.5509,0.506,0.4722,0.5398
1,145,1939,115.2,127.1,#NOM?,0.002808,0.9066,1431,88.88,90,#NOM?,0.0007322,0.9875,0.1111,140,62,151,73,143,0,135,158,60,157,79,148,73,175,0,160,148,77,111,46,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,144,144,144,144,144,0,144,144,144,128,0.1111,0.5028,0.4653,0.5368,0.5043,0.468,0.5401
1,150,2001,123,127.1,#NOM?,0.01168,0.9676,1440,90,90,#NOM?,0,1,0.1111,170,83,148,91,148,0,142,140,62,165,92,136,72,166,0,143,161,82,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,149,149,149,149,149,0,149,149,149,132,0.1111,0.5003,0.4668,0.5328,0.5046,0.4719,0.5372
1,155,1746,111.2,107,#NOM?,0.0292,1.04,1286,80,80.75,#NOM?,0.009866,0.9907,0.1111,146,66,108,76,131,0,166,112,85,172,56,106,50,126,0,144,128,74,111,39,86,55,88,0,111,95,55,111,49,92,55,90,0,111,83,55,154,154,154,154,154,0,154,154,154,136,0.1111,0.5135,0.4754,0.5531,0.5091,0.471,0.5468
1,160,1862,115.8,117,#NOM?,0.01657,0.9893,1326,83,82.75,#NOM?,0.00873,1.003,0.1111,146,80,129,81,127,0,137,158,68,157,70,130,86,119,0,159,152,63,111,53,92,55,86,0,111,111,45,111,53,86,55,92,0,111,111,43,159,159,159,159,159,0,159,159,159,141,0.1111,0.5104,0.4797,0.5407,0.5057,0.4724,0.539
1,165,1906,118.8,119.5,#NOM?,0.02396,0.9937,1330,84.12,82.12,#NOM?,0.009263,1.024,0.1111,168,71,119,89,126,0,144,166,67,147,80,109,78,139,0,172,161,70,111,55,88,55,94,0,111,111,48,111,55,90,55,84,0,111,111,40,164,164,164,164,164,0,164,164,164,145,0.1111,0.5038,0.4808,0.5267,0.5113,0.479,0.5444
