generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp,off.allnbp,off.allnb,off.fixlocp,off.fixloc,off.ho,off.hsnei,off.htnei,off.fis,off.fst,off.fit,adlt.allnbp,adlt.allnb,adlt.fixlocp,adlt.fixloc,adlt.ho,adlt.hsnei,adlt.htnei,adlt.fis,adlt.fst,adlt.fit
100,6.9988e+03,3.4817e+03,3.5172e+03,3.4992e+00,0.0000e+00,9.9000e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.3700e-01,3.8109e-01,6.9143e-01,5.3777e-01,3.8400e-01,6.9148e-01,2.1083e+00,2.1083e+00,3.1667e+00,3.1667e+00,4.0958e-04,4.0947e-04,4.0947e-04,-3.0640e-04,-7.4000e-17,-3.0640e-04,1.4833e+00,1.4833e+00,1.1000e+01,1.1000e+01,4.0417e-04,4.0402e-04,4.0402e-04,-3.2503e-04,-1.8500e-16,-3.2503e-04,
105,6.9972e+03,3.4963e+03,3.5008e+03,3.4985e+00,0.0000e+00,9.9887e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.3697e-01,3.8084e-01,6.9138e-01,5.3722e-01,3.8280e-01,6.9160e-01,2.0500e+00,2.0500e+00,3.8333e+00,3.8333e+00,4.0968e-04,4.0958e-04,4.0958e-04,-2.8932e-04,3.7000e-17,-2.8932e-04,1.5583e+00,1.5583e+00,9.3333e+00,9.3333e+00,4.0000e-04,3.9990e-04,3.9990e-04,-1.9954e-04,-1.1100e-16,-1.9954e-04,
110,6.9887e+03,3.5065e+03,3.4822e+03,3.4942e+00,0.0000e+00,1.0071e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2893e-01,3.6893e-01,6.9130e-01,5.3035e-01,3.6931e-01,6.9145e-01,2.1333e+00,2.1333e+00,3.0000e+00,3.0000e+00,4.3987e-04,4.3973e-04,4.3973e-04,-3.4348e-04,3.7000e-17,-3.4348e-04,1.5833e+00,1.5833e+00,9.8333e+00,9.8333e+00,4.6667e-04,4.6648e-04,4.6648e-04,-3.5677e-04,-1.8500e-16,-3.5677e-04,
115,6.9667e+03,3.4830e+03,3.4837e+03,3.4833e+00,0.0000e+00,1.0000e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2667e-01,3.6175e-01,6.9145e-01,5.2782e-01,3.6415e-01,6.9143e-01,2.1333e+00,2.1333e+00,3.5000e+00,3.5000e+00,4.2205e-04,4.2188e-04,4.2188e-04,-2.8362e-04,0.0000e+00,-2.8362e-04,1.5583e+00,1.5583e+00,1.0000e+01,1.0000e+01,4.5417e-04,4.5402e-04,4.5402e-04,-2.8813e-04,-1.1100e-16,-2.8813e-04,
120,6.9300e+03,3.4920e+03,3.4380e+03,3.4650e+00,0.0000e+00,1.0160e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2180e-01,3.5274e-01,6.9152e-01,5.2357e-01,3.5556e-01,6.9152e-01,2.0667e+00,2.0667e+00,3.5000e+00,3.5000e+00,3.7265e-04,3.7253e-04,3.7253e-04,-2.4710e-04,-3.7000e-17,-2.4710e-04,1.5167e+00,1.5167e+00,1.0833e+01,1.0833e+01,3.8750e-04,3.8738e-04,3.8738e-04,-2.4210e-04,-3.7000e-17,-2.4210e-04,
125,6.9520e+03,3.5215e+03,3.4305e+03,3.4758e+00,0.0000e+00,1.0266e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1835e-01,3.5006e-01,6.9120e-01,5.2078e-01,3.5020e-01,6.9133e-01,2.1833e+00,2.1833e+00,3.3333e+00,3.3333e+00,4.8430e-04,4.8417e-04,4.8417e-04,-3.3203e-04,1.8500e-17,-3.3203e-04,1.6333e+00,1.6333e+00,9.5000e+00,9.5000e+00,4.9583e-04,4.9565e-04,4.9565e-04,-3.6512e-04,-7.4000e-17,-3.6512e-04,
130,6.9255e+03,3.4907e+03,3.4348e+03,3.4627e+00,0.0000e+00,1.0162e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1967e-01,3.4987e-01,6.9152e-01,5.2063e-01,3.4983e-01,6.9145e-01,2.0000e+00,2.0000e+00,4.5000e+00,4.5000e+00,3.6895e-04,3.6882e-04,3.6882e-04,-3.4707e-04,0.0000e+00,-3.4707e-04,1.5333e+00,1.5333e+00,1.0667e+01,1.0667e+01,4.1250e-04,4.1233e-04,4.1233e-04,-4.2356e-04,-1.4800e-16,-4.2356e-04,
135,6.9447e+03,3.4915e+03,3.4532e+03,3.4723e+00,0.0000e+00,1.0114e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2003e-01,3.4983e-01,6.9135e-01,5.2067e-01,3.4986e-01,6.9143e-01,2.1250e+00,2.1250e+00,4.0000e+00,4.0000e+00,3.9720e-04,3.9707e-04,3.9707e-04,-2.6723e-04,3.7000e-17,-2.6723e-04,1.5167e+00,1.5167e+00,1.0667e+01,1.0667e+01,4.4167e-04,4.4148e-04,4.4148e-04,-3.6532e-04,0.0000e+00,-3.6532e-04,
140,6.8820e+03,3.4607e+03,3.4213e+03,3.4410e+00,0.0000e+00,1.0117e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1990e-01,3.4996e-01,6.9133e-01,5.2062e-01,3.4997e-01,6.9130e-01,2.1167e+00,2.1167e+00,3.6667e+00,3.6667e+00,4.0742e-04,4.0730e-04,4.0730e-04,-2.8985e-04,-3.7000e-17,-2.8985e-04,1.6333e+00,1.6333e+00,9.1667e+00,9.1667e+00,4.5833e-04,4.5822e-04,4.5822e-04,-2.5788e-04,-1.8500e-16,-2.5788e-04,
145,6.8545e+03,3.4183e+03,3.4362e+03,3.4273e+00,0.0000e+00,9.9535e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2207e-01,3.4995e-01,6.9133e-01,5.2068e-01,3.4997e-01,6.9140e-01,2.0250e+00,2.0250e+00,4.1667e+00,4.1667e+00,3.7022e-04,3.7010e-04,3.7010e-04,-2.7888e-04,0.0000e+00,-2.7888e-04,1.5250e+00,1.5250e+00,1.0500e+01,1.0500e+01,4.7500e-04,4.7477e-04,4.7477e-04,-4.4768e-04,-1.4800e-16,-4.4768e-04,
150,6.8338e+03,3.4062e+03,3.4277e+03,3.4165e+00,0.0000e+00,9.9448e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2168e-01,3.4987e-01,6.9142e-01,5.2057e-01,3.4987e-01,6.9132e-01,2.0333e+00,2.0333e+00,3.5000e+00,3.5000e+00,3.8870e-04,3.8858e-04,3.8858e-04,-2.8265e-04,-7.4000e-17,-2.8265e-04,1.5000e+00,1.5000e+00,1.0500e+01,1.0500e+01,3.7917e-04,3.7907e-04,3.7907e-04,-2.2997e-04,-1.1100e-16,-2.2997e-04,
155,6.1575e+03,3.0792e+03,3.0783e+03,3.0787e+00,0.0000e+00,1.0009e+00,1.8023e+03,9.0000e+02,9.0233e+02,9.0117e-01,0.0000e+00,9.9720e-01,0.0000e+00,5.2228e-01,3.5520e-01,6.8817e-01,5.2517e-01,3.6023e-01,6.8898e-01,1.9917e+00,1.9917e+00,4.6667e+00,4.6667e+00,3.9763e-04,3.9748e-04,3.9748e-04,-3.1607e-04,-1.4800e-16,-3.1607e-04,1.4000e+00,1.4000e+00,1.2833e+01,1.2833e+01,3.3388e-04,3.3378e-04,3.3378e-04,-2.7434e-04,-3.7000e-17,-2.7434e-04,
160,5.7465e+03,2.8910e+03,2.8555e+03,2.8733e+00,0.0000e+00,1.0103e+00,1.6610e+03,8.3867e+02,8.2233e+02,8.3050e-01,0.0000e+00,1.0220e+00,0.0000e+00,5.2823e-01,3.6691e-01,6.9100e-01,5.2558e-01,3.6130e-01,6.9048e-01,1.9833e+00,1.9833e+00,5.1667e+00,5.1667e+00,4.1243e-04,4.1225e-04,4.1225e-04,-3.4527e-04,3.7000e-17,-3.4527e-04,1.4500e+00,1.4500e+00,1.2167e+01,1.2167e+01,3.6580e-04,3.6570e-04,3.6570e-04,-2.6558e-04,-3.7000e-17,-2.6558e-04,
165,5.2597e+03,2.6293e+03,2.6303e+03,2.6300e+00,0.0000e+00,9.9983e-01,1.5377e+03,7.6750e+02,7.7017e+02,7.6883e-01,0.0000e+00,9.8692e-01,0.0000e+00,5.3357e-01,3.8149e-01,6.8788e-01,5.2933e-01,3.7105e-01,6.8763e-01,1.8000e+00,1.8000e+00,6.8333e+00,6.8333e+00,3.8952e-04,3.8933e-04,3.8933e-04,-4.1725e-04,-5.5500e-17,-4.1725e-04,1.4000e+00,1.4000e+00,1.2833e+01,1.2833e+01,3.8167e-04,3.8152e-04,3.8152e-04,-3.9212e-04,1.8500e-17,-3.9212e-04,
170,4.8170e+03,2.3990e+03,2.4180e+03,2.4083e+00,0.0000e+00,9.9417e-01,1.3920e+03,6.9933e+02,6.9267e+02,6.9600e-01,0.0000e+00,1.0127e+00,0.0000e+00,5.2140e-01,3.5549e-01,6.8563e-01,5.2552e-01,3.6021e-01,6.8785e-01,1.8500e+00,1.8500e+00,6.5000e+00,6.5000e+00,3.4358e-04,3.4350e-04,3.4350e-04,-1.9977e-04,-1.1100e-16,-1.9977e-04,1.3083e+00,1.3083e+00,1.4500e+01,1.4500e+01,2.4078e-04,2.4072e-04,2.4072e-04,-1.1988e-04,0.0000e+00,-1.1988e-04,
175,4.6052e+03,2.3188e+03,2.2863e+03,2.3025e+00,0.0000e+00,1.0169e+00,1.3458e+03,6.6767e+02,6.7817e+02,6.7292e-01,0.0000e+00,9.8865e-01,0.0000e+00,5.1582e-01,3.5012e-01,6.8420e-01,5.2120e-01,3.5000e-01,6.8452e-01,1.7667e+00,1.7667e+00,7.5000e+00,7.5000e+00,3.8000e-04,3.7990e-04,3.7990e-04,-3.0657e-04,0.0000e+00,-3.0657e-04,1.3333e+00,1.3333e+00,1.3833e+01,1.3833e+01,3.7607e-04,3.7588e-04,3.7588e-04,-4.3307e-04,-1.8500e-17,-4.3307e-04,
180,4.6035e+03,2.2757e+03,2.3278e+03,2.3017e+00,0.0000e+00,9.8093e-01,1.3275e+03,6.6533e+02,6.6217e+02,6.6375e-01,0.0000e+00,1.0149e+00,0.0000e+00,5.1930e-01,3.4985e-01,6.8418e-01,5.1538e-01,3.4993e-01,6.8387e-01,1.8333e+00,1.8333e+00,6.6667e+00,6.6667e+00,4.5397e-04,4.5375e-04,4.5375e-04,-4.3942e-04,1.8500e-17,-4.3942e-04,1.3583e+00,1.3583e+00,1.3833e+01,1.3833e+01,4.0420e-04,4.0402e-04,4.0402e-04,-4.3862e-04,-1.8500e-17,-4.3862e-04,
185,4.3540e+03,2.1792e+03,2.1748e+03,2.1768e+00,0.0000e+00,9.9670e-01,1.2730e+03,6.2817e+02,6.4483e+02,6.3650e-01,0.0000e+00,9.5360e-01,0.0000e+00,5.1757e-01,3.4991e-01,6.8395e-01,5.2067e-01,3.4998e-01,6.8397e-01,1.6667e+00,1.6667e+00,9.3333e+00,9.3333e+00,3.5629e-04,3.5609e-04,3.5609e-04,-3.2623e-04,-7.4000e-17,-3.2623e-04,1.3417e+00,1.3417e+00,1.3833e+01,1.3833e+01,4.2497e-04,4.2483e-04,4.2483e-04,-2.9753e-04,-9.2500e-17,-2.9753e-04,
190,4.2960e+03,2.1573e+03,2.1387e+03,2.1480e+00,0.0000e+00,1.0098e+00,1.2432e+03,6.1917e+02,6.2400e+02,6.2158e-01,0.0000e+00,9.5448e-01,0.0000e+00,5.1757e-01,3.4969e-01,6.8388e-01,5.1722e-01,3.4965e-01,6.8397e-01,1.7083e+00,1.7083e+00,9.1667e+00,9.1667e+00,3.0468e-04,3.0462e-04,3.0462e-04,-2.3671e-04,-3.7000e-17,-2.3671e-04,1.3583e+00,1.3583e+00,1.4167e+01,1.4167e+01,4.6223e-04,4.6177e-04,4.6177e-04,-7.0315e-04,0.0000e+00,-7.0315e-04,
195,4.1930e+03,2.1128e+03,2.0802e+03,2.0965e+00,0.0000e+00,9.9737e-01,1.1997e+03,6.0383e+02,5.9583e+02,5.9983e-01,0.0000e+00,1.0670e+00,0.0000e+00,5.1595e-01,3.5005e-01,6.8383e-01,5.1370e-01,3.4995e-01,6.8372e-01,1.7500e+00,1.7500e+00,7.8333e+00,7.8333e+00,4.2842e-04,4.2817e-04,4.2817e-04,-3.9455e-04,0.0000e+00,-3.9455e-04,1.3750e+00,1.3750e+00,1.3000e+01,1.3000e+01,4.2965e-04,4.2955e-04,4.2955e-04,-1.6722e-04,3.7000e-17,-1.6722e-04,
200,2.4315e+03,1.2143e+03,1.2172e+03,1.2158e+00,0.0000e+00,1.0914e+00,1.2063e+03,6.1200e+02,5.9433e+02,6.0317e-01,0.0000e+00,1.0700e+00,0.0000e+00,5.1262e-01,3.5006e-01,6.8383e-01,5.1193e-01,3.5001e-01,6.8387e-01,1.6000e+00,1.6000e+00,9.1667e+00,9.1667e+00,5.0535e-04,5.0527e-04,5.0527e-04,-2.0508e-04,-5.5500e-17,-2.0508e-04,1.3500e+00,1.3500e+00,1.3667e+01,1.3667e+01,3.3002e-04,3.2988e-04,3.2988e-04,-2.5842e-04,-3.7000e-17,-2.5842e-04,
