replicate generation off.nbr off.nbfem off.nbmal off.density off.dvar off.sexratio adlt.nbr adlt.nbfem adlt.nbmal adlt.density adlt.dvar adlt.sexratio extrate off.disp off.fdisp off.mdisp adlt.disp adlt.fdisp adlt.mdisp off.allnbp off.allnb off.fixlocp off.fixloc off.ho off.hsnei off.htnei off.fis off.fst off.fit adlt.allnbp adlt.allnb adlt.fixlocp adlt.fixloc adlt.ho adlt.hsnei adlt.htnei adlt.fis adlt.fst adlt.fit
1 160 924 463 461 0.462 0 1.004 723 371 352 0.3615 0 1.054 0 0.5413 0.8058 0.2755 0.5475 0.8059 0.2752 1.4 1.4 14 14 0.0005411 0.0005409 0.0005409 -0.0003793 2.22e-16 -0.0003793 1.2 1.2 16 16 0.0002766 0.0002766 0.0002766 -6.04e-14 -2.22e-16 -6.062e-14
1 165 633 320 313 0.3165 0 1.022 484 253 231 0.242 0 1.095 0 0.5433 0.8056 0.2751 0.5529 0.8061 0.2756 1.3 1.3 14 14 0.0007109 0.0007104 0.0007104 -0.0007037 -2.22e-16 -0.0007037 1.25 1.25 15 15 0.0006198 0.0006196 0.0006196 -0.0003452 -2.22e-16 -0.0003452
1 170 437 195 242 0.2185 0 0.8058 323 171 152 0.1615 0 1.125 0 0.5122 0.8059 0.2756 0.5562 0.8057 0.2756 1.15 1.15 17 17 0.0003432 0.0003432 0.0003432 7.438e-15 0 7.438e-15 1.1 1.1 18 18 0.0003096 0.0003096 0.0003096 2.631e-14 2.22e-16 2.642e-14
1 175 186 86 100 0.093 0 0.86 151 77 74 0.0755 0 1.041 0 0.5213 0.8057 0.2767 0.5464 0.8066 0.2756 1 1 20 20 0 0 0 nan nan nan 1 1 20 20 0 0 0 nan nan nan
1 180 46 27 19 0.023 0 1.421 51 24 27 0.0255 0 0.8889 0 0.5867 0.8057 0.2756 0.525 0.8057 0.2756 1 1 20 20 0 0 0 nan nan nan 1 1 20 20 0 0 0 nan nan nan
1 185 22 8 14 0.011 0 0.5714 13 8 5 0.0065 0 1.6 0 0.4684 0.8057 0.2756 0.6018 0.8057 0.2756 1.05 1.05 19 19 0.004545 0.004437 0.004437 -0.02439 0 -0.02439 1.05 1.05 19 19 0.003846 0.003846 0.003846 5.551e-16 0 5.551e-16
1 190 2 nan 2 0.001 0 0 5 2 3 0.0025 0 0.6667 0 0.2756 0 0.2756 0.4876 0.8057 0.2756 1 1 20 20 0 0 0 nan nan nan 1 1 20 20 0 0 0 nan nan nan
2 1 2593 1285 1308 1.296 0 0.9824 2000 1000 1000 1 0 1 0 0.5593 0.4865 0.6308 0.4984 0.4947 0.502 12 12 0 0 0.9162 0.7998 0.7998 -0.1456 -2.22e-16 -0.1456 12 12 0 0 0.9161 0.9167 0.9167 0.0006034 -2.22e-16 0.0006034
2 5 2479 1203 1276 1.24 0 0.9428 2000 1000 1000 1 0 1 0 0.4573 0.08634 0.807 0.4134 0.1243 0.7025 11.95 11.95 0 0 0.4991 0.449 0.449 -0.1116 1.11e-16 -0.1116 12 12 0 0 0.5504 0.4995 0.4995 -0.1019 -2.22e-16 -0.1019
2 10 2543 1254 1289 1.272 0 0.9728 2000 1000 1000 1 0 1 0 0.3435 0.05367 0.6255 0.3666 0.05423 0.6789 4.9 4.9 0 0 0.289 0.2743 0.2743 -0.05339 0 -0.05339 5.95 5.95 0 0 0.322 0.2919 0.2919 -0.103 0 -0.103
2 15 2608 1293 1315 1.304 0 0.9833 2000 1000 1000 1 0 1 0 0.3231 0.05228 0.5894 0.333 0.05272 0.6134 2.65 2.65 3 3 0.1581 0.1368 0.1368 -0.1561 0 -0.1561 2.7 2.7 3 3 0.1682 0.1533 0.1533 -0.0971 0 -0.0971
2 20 2546 1250 1296 1.273 0 0.9645 2000 1000 1000 1 0 1 0 0.2324 0.0524 0.406 0.3056 0.05225 0.5589 2.3 2.3 3 3 0.03119 0.02857 0.02857 -0.09148 0 -0.09148 2.1 2.1 7 7 0.05992 0.04999 0.04999 -0.1986 0 -0.1986
2 25 2555 1313 1242 1.278 0 1.057 2000 1000 1000 1 0 1 0 0.365 0.05233 0.6955 0.2756 0.05232 0.499 1.85 1.85 7 7 0.001389 0.001386 0.001386 -0.002599 -2.22e-16 -0.002599 2 2 5 5 0.00225 0.002242 0.002242 -0.003508 -2.22e-16 -0.003508
2 30 2664 1330 1334 1.332 0 0.997 2000 1000 1000 1 0 1 0 0.4706 0.0523 0.8876 0.4609 0.05229 0.8695 1.6 1.6 11 11 0.0004505 0.0004502 0.0004502 -0.0006106 0 -0.0006106 1.8 1.8 7 7 0.00075 0.0007496 0.0007496 -0.0005339 0 -0.0005339
2 35 2584 1255 1329 1.292 0 0.9443 2000 1000 1000 1 0 1 0 0.4893 0.05215 0.9021 0.4765 0.05215 0.9008 1.55 1.55 10 10 0.0002709 0.0002709 0.0002709 -0.0001245 0 -0.0001245 1.3 1.3 14 14 0.0002 0.0002 0.0002 -0.0001251 -2.22e-16 -0.0001251
2 40 2551 1260 1291 1.276 0 0.976 2000 1000 1000 1 0 1 0 0.4823 0.0522 0.9022 0.4771 0.05221 0.902 1.8 1.8 7 7 0.0005096 0.0005094 0.0005094 -0.0003093 0 -0.0003093 1.65 1.65 10 10 0.00055 0.0005498 0.0005498 -0.0003867 -2.22e-16 -0.0003867
2 45 2524 1252 1272 1.262 0 0.9843 2000 1000 1000 1 0 1 0 0.4807 0.05256 0.9021 0.4772 0.05221 0.9022 1.5 1.5 10 10 0.000317 0.0003169 0.0003169 -0.0001734 0 -0.0001734 1.4 1.4 12 12 0.00025 0.00025 0.00025 -0.0001001 0 -0.0001001
2 50 2560 1247 1313 1.28 0 0.9497 2000 1000 1000 1 0 1 0 0.4879 0.05228 0.9017 0.4773 0.0525 0.902 1.3 1.3 15 15 0.0002148 0.0002148 0.0002148 -0.0003198 1.11e-16 -0.0003198 1.5 1.5 10 10 0.000275 0.000275 0.000275 -4.548e-05 0 -4.548e-05
